"kc","mH","totwidth","h1h1"
0.29286446,325.,2.083265878802939,0.1506469073061951
0.39304696,325.,3.405527685278672,0.09215534000643581
0.52749971,325.,5.785856005199238,0.05424220054148739
0.70794578,325.,10.071502113820074,0.0311609488030131
0.05011872,337.5,0.5525993889193923,0.6685832469712735
0.06726324,337.5,0.593228889035637,0.6227928217027121
0.09027252,337.5,0.6661795345411975,0.5545932808826326
0.12115277,337.5,0.7972674631554438,0.4634062103272294
0.16259647,337.5,1.0329650385895746,0.357668149371767
0.21821715,337.5,1.456940972991362,0.2535852176354838
0.29286446,337.5,2.219848792835839,0.16643417106175437
0.39304696,337.5,3.5929759695640997,0.10282804473164696
0.52749971,337.5,6.064871844958453,0.060917807195743114
0.70794578,337.5,10.51538014276051,0.035135077258469656
0.05011872,350.,0.634400376296702,0.6765533337542651
0.06726324,350.,0.6765349238550812,0.634417639628659
0.09027252,350.,0.7521878960470666,0.570609673160227
0.12115277,350.,0.8881317434171719,0.4832680429449391
0.16259647,350.,1.1325603155903619,0.37896938786413686
0.21821715,350.,1.5722416830831913,0.2729896390209018
0.29286446,350.,2.3634100638392357,0.18160440969827768
0.39304696,350.,3.7874022903256286,0.11332455773574365
0.52749971,350.,6.350865144241549,0.06758223954852241
0.70794578,350.,10.966234592455077,0.039138838942383535
0.05011872,375.,0.8263090813403464,0.6802554802099918
0.06726324,375.,0.8714536991267,0.6450156577364318
0.09027252,375.,0.9525112804209274,0.5901255895685074
0.12115277,375.,1.0981668857511262,0.511854152790801
0.16259647,375.,1.3600573083677168,0.4132923498669804
0.21821715,375.,1.8311492847498774,0.30696638750883437
0.29286446,375.,2.6788383243531246,0.20983023716624968
0.39304696,375.,4.204559817063974,0.1336884966287784
0.52749971,375.,6.9511551279357695,0.08086444203641008
0.70794578,375.,11.89624417615024,0.047250314688056225
0.05011872,400.,1.0492099001507358,0.680828549385375
0.06726324,400.,1.0973645604265034,0.6509523635816732
0.09027252,400.,1.1838267010181303,0.6034093112666304
0.12115277,400.,1.339193974812111,0.5334044714624832
0.16259647,400.,1.6185460869567247,0.4413418067467698
0.21821715,400.,2.1210483827714937,0.3367825364676538
0.29286446,400.,3.025257560369746,0.2361227234593186
0.39304696,400.,4.65270738184408,0.1535304062120653
0.52749971,400.,7.5824334620597424,0.09420881276369951
0.70794578,400.,12.857239071825468,0.05555874401415921
0.05011872,425.,1.3024694058628565,0.6813864038550332
0.06726324,425.,1.3536340857843254,0.6556313511253423
0.09027252,425.,1.4455007446572523,0.6139636716704224
0.12115277,425.,1.610579613211549,0.5510345078952191
0.16259647,425.,1.9073932823645208,0.46528681462687843
0.21821715,425.,2.441305659233763,0.3635288114109585
0.29286446,425.,3.4020345458862953,0.26086888084814813
0.39304696,425.,5.131211924090915,0.17295815447133964
0.52749971,425.,8.244067383840594,0.10765134529730777
0.70794578,425.,13.848587052883774,0.06408487315009455
0.05011872,450.,1.5869600959256385,0.6824648125787647
0.06726324,450.,1.6411347764562485,0.6599363074704466
0.09027252,450.,1.7384059194301542,0.6230100877652834
0.12115277,450.,1.9131963213247827,0.5660916302023449
0.16259647,450.,2.227471437052287,0.48622146458098314
0.21821715,450.,2.7927936963261675,0.3877996523196765
0.29286446,450.,3.8100419345798824,0.2842604997614798
0.39304696,450.,5.640946226149297,0.19199694182782445
0.52749971,450.,8.936929907250017,0.12118752588148438
0.70794578,450.,14.871161550327932,0.07282850238500647
0.05011872,475.,1.9040299084672319,0.6840445603317917
0.06726324,475.,1.9612145735761013,0.6640993388200037
0.09027252,475.,2.0638901718673894,0.6310613419984482
